Gpu,Rating,Performance
AMD Radeon HD 8610G,673,0.28
AMD Radeon HD 8650G,570,0.62
AMD Radeon HD 8650G ,717,0.23
AMD Radeon HD 8650M,714,0.23
AMD Radeon HD 8670D,767,0.12
AMD Radeon HD 8670M,687,0.27
AMD Radeon HD 8690M,537,0.7
AMD Radeon HD 8730M,505,0.93
AMD Radeon HD 8750M,500,0.93
AMD Radeon HD 8770M,448,1.5
AMD Radeon HD 8790M,461,1.36
AMD Radeon HD 8850M,543,0.69
AMD Radeon HD 8870M,403,2.58
AMD Radeon HD 8970M,231,9.19
AMD Radeon HD 8970M Crossfire,117,29.21
AMD Radeon Pro 450,299,5.09
AMD Radeon Pro 455,276,6.05
AMD Radeon Pro 460,251,7.86
AMD Radeon Pro 5500M,131,27
AMD Radeon Pro 555,273,6.1
AMD Radeon Pro 555X,256,7.36
AMD Radeon Pro 560,250,7.91
AMD Radeon Pro 560X,239,8.74
AMD Radeon Pro 570,133,25.67
AMD Radeon Pro 580,109,30.28
AMD Radeon Pro 580X,112,29.44
AMD Radeon Pro V340 MxGPU,295,5.33
AMD Radeon Pro Vega 16,185,13.04
AMD Radeon Pro Vega 20,132,25.83
AMD Radeon PRO WX 2100,344,3.73
AMD Radeon PRO WX 3100,263,6.86
AMD Radeon Pro WX 3200,315,4.52
AMD Radeon Pro WX 4100,225,9.26
AMD Radeon Pro WX 4130,281,5.8
AMD Radeon Pro WX 4150,270,6.24
AMD Radeon Pro WX 5100,159,20.89
AMD Radeon Pro WX 7100,101,32.07
AMD Radeon Pro WX Vega M GL,149,22.35
AMD RADEON R2 GRAPHICS,,0.13
AMD Radeon R2 ,730,0.13
AMD Radeon R3 ,868,0.07
AMD RADEON R4 GRAPHICS,,0.25
AMD R4 GRAPHICS,,0.25
AMD Radeon R4 ,709,0.25
AMD Radeon R5 ,698,0.25
AMD Radeon R5 230,822,0.09
AMD Radeon R5 430,526,0.73
AMD Radeon R5 M230,663,0.29
AMD Radeon R5 M240,668,0.28
AMD Radeon R5 M255,576,0.52
AMD Radeon R5 M315,655,0.31
AMD Radeon R5 M320,721,0.13
AMD Radeon R5 M330,661,0.3
AMD Radeon R5 M335,675,0.28
AMD RADEON R5 M420X,,0.28
AMD Radeon R5 M420,670,0.28
AMD Radeon R5 M430,639,0.33
AMD Radeon R5 M435,657,0.31
AMD Radeon R6 ,607,0.47
AMD Radeon R6 M255DX,660,0.3
AMD Radeon R6 M340DX,513,0.92
