Gpu,Rating,Performance
NVIDIA GeForce GTX 690,173,19.66
NVIDIA GeForce GTX 750,261,6.89
NVIDIA GeForce GTX 750 Ti,236,8.94
NVIDIA GeForce GTX 760,178,18
NVIDIA GeForce GTX 760 Ti OEM,166,20.06
NVIDIA GeForce GTX 760A,470,1.31
NVIDIA GeForce GTX 760M,457,1.49
NVIDIA GeForce GTX 765M,382,2.99
NVIDIA GeForce GTX 765M SLI,220,9.76
NVIDIA GeForce GTX 770,141,24.11
NVIDIA GeForce GTX 770M,301,4.98
NVIDIA GeForce GTX 770M SLI,218,9.76
NVIDIA GeForce GTX 775M,214,9.78
NVIDIA GeForce GTX 780M,226,9.2
NVIDIA GeForce GTX 780M SLI,115,29.21
NVIDIA GeForce GTX 850A,759,0.13
NVIDIA GeForce GTX 850M,402,2.6
NVIDIA GeForce GTX 860M,360,3.31
NVIDIA GeForce GTX 860M SLI,197,11.78
NVIDIA GeForce GTX 870M,322,4.42
NVIDIA GeForce GTX 880M,238,8.82
NVIDIA GeForce GTX 880M SLI,106,30.28
NVIDIA GeForce GTX 950,170,19.7
NVIDIA GeForce GTX 950A,395,2.72
NVIDIA GeForce GTX 950M,379,3.07
NVIDIA GEFORCE GTX 960<U+039C>,,4.52
NVIDIA GeForce GTX 960,146,23.19
NVIDIA GeForce GTX 960A,325,4.3
NVIDIA GEFORCE 960M,,4.52
NVIDIA GeForce GTX 960M,313,4.52
NVIDIA GeForce GTX 965M,264,6.74
NVIDIA GeForce GTX 965M SLI,118,29.21
NVIDIA GeForce GTX 970M,213,9.84
NVIDIA GTX 980 SLI,,23.75
NVIDIA GEFORCE GTX 980,,23.75
NVIDIA GeForce GTX 980M,144,23.75
NVIDIA GeForce GTX TITAN Z,110,29.86
NVIDIA GeForce MX110,407,2.48
NVIDIA GeForce MX130,374,3.12
NVIDIA GeForce 150MX,343,3.74
NVIDIA GeForce MX150,343,3.74
NVIDIA GeForce MX230,346,3.67
NVIDIA GeForce MX250,312,4.86
NVIDIA GF117,672,0.28
NVIDIA GRID K1,692,0.26
NVIDIA GRID K120Q,793,0.11
NVIDIA GRID K140Q,589,0.5
NVIDIA GRID K160Q,625,0.36
NVIDIA GRID K180Q,769,0.12
NVIDIA GRID K2,235,8.94
NVIDIA GRID K220Q,569,0.62
NVIDIA GRID K240Q,349,3.58
NVIDIA GRID K260Q,285,5.71
NVIDIA GRID K280Q,327,4.21
NVIDIA GRID K520,204,11.69
NVIDIA GRID M10-8Q,341,3.76
NVIDIA GRID M6-8Q,241,8.46
NVIDIA GRID M60-1Q,191,12.33
NVIDIA GRID M60-2Q,152,21.81
NVIDIA GRID M60-8Q,230,9.2
NVIDIA ION 2,928,0.03
NVIDIA Maxwell GPU Surface Book ,376,3.08
NVIDIA NVS 310,796,0.11
NVIDIA NVS 3100M,847,0.08
NVIDIA NVS 315,898,0.05
NVIDIA NVS 4200M,925,0.03
NVIDIA NVS 510,624,0.39
NVIDIA NVS 5100M,917,0.04
NVIDIA NVS 5200M,630,0.34
NVIDIA NVS 5400M,764,0.13
NVIDIA NVS 810,538,0.7
NVIDIA P106-100,190,12.47
NVIDIA Quadro 1000M,580,0.51
NVIDIA Quadro 2000,443,1.5
NVIDIA Quadro 2000D,472,1.31
NVIDIA Quadro 2000M,524,0.73
NVIDIA Quadro 3000M,428,1.66
NVIDIA Quadro 400,825,0.09
NVIDIA Quadro 4000,366,3.26
NVIDIA Quadro 4000M,389,2.83
NVIDIA Quadro 410,921,0.04
NVIDIA Quadro 5000,294,5.34
NVIDIA Quadro 5000M,373,3.26
NVIDIA Quadro 500M,631,0.34
NVIDIA Quadro 5010M,387,2.9
NVIDIA Quadro 600,606,0.48
NVIDIA Quadro 6000,260,7.32
NVIDIA Quadro 7000,221,9.76
NVIDIA Quadro CX,547,0.67
NVIDIA Quadro FX 1600M,834,0.08
NVIDIA Quadro FX 1700,855,0.07
NVIDIA Quadro FX 1700M,791,0.11
NVIDIA Quadro FX 1800,662,0.3
NVIDIA Quadro FX 1800M,779,0.12
NVIDIA Quadro FX 2500M,833,0.08
NVIDIA Quadro FX 2700M,685,0.27
NVIDIA Quadro FX 2800M,636,0.33
NVIDIA Quadro FX 3500,840,0.08
NVIDIA Quadro FX 3500M,789,0.11
NVIDIA Quadro FX 3600M,861,0.07
NVIDIA Quadro FX 3700,647,0.32
NVIDIA Quadro FX 3700M,645,0.32
NVIDIA Quadro FX 3800,710,0.25
NVIDIA Quadro FX 3800M,758,0.13
NVIDIA Quadro FX 380M,850,0.07
NVIDIA Quadro FX 4500,843,0.08
NVIDIA Quadro FX 4600,659,0.31
NVIDIA Quadro FX 4700 X2,626,0.34
NVIDIA Quadro FX 4800,534,0.71
NVIDIA Quadro FX 5500,823,0.09
NVIDIA Quadro FX 5600,612,0.46
NVIDIA Quadro FX 580,810,0.1
NVIDIA Quadro FX 5800,498,0.97
NVIDIA Quadro FX 770M,795,0.11
NVIDIA Quadro FX 880M,889,0.05
NVIDIA Quadro K1000M,762,0.13
NVIDIA Quadro K1100M,516,0.78
NVIDIA Quadro K1200,289,5.7
NVIDIA Quadro K2000,396,2.71
NVIDIA Quadro K2000D,405,2.58
NVIDIA Quadro K2000M,523,0.77
NVIDIA Quadro K2100M,441,1.53
NVIDIA Quadro K2200,240,8.53
NVIDIA Quadro K2200M,300,5.08
NVIDIA Quadro K3000M,391,2.76
NVIDIA Quadro K3100M,357,3.49
NVIDIA Quadro K4000,293,5.38
NVIDIA Quadro K4000M,342,3.75
NVIDIA Quadro K4100M,302,4.98
NVIDIA Quadro K420,752,0.13
NVIDIA Quadro K4200,188,12.47
NVIDIA Quadro K5000,228,9.2
NVIDIA Quadro K5000M,307,4.88
NVIDIA Quadro K5100M,274,6.08
NVIDIA Quadro K510M,637,0.33
NVIDIA Quadro K5200,139,24.24
NVIDIA Quadro K600,754,0.13
NVIDIA Quadro K6000,113,29.21
NVIDIA Quadro K610M,775,0.12
NVIDIA QUADRO M620M,,0.63
NVIDIA Quadro K620,328,4.17
NVIDIA Quadro K620M,567,0.63
NVIDIA Quadro M1000M,324,4.3
NVIDIA Quadro M1200,279,5.99
NVIDIA Quadro M2000,211,9.91
NVIDIA Quadro M2000M,283,5.75
NVIDIA Quadro M2200,237,8.83
NVIDIA Quadro M2200M,237,8.83
NVIDIA Quadro M3000M,187,12.54
NVIDIA Quadro M4000,128,27.08
NVIDIA Quadro M4000M,179,17.84
NVIDIA Quadro M5000M,156,21.25
NVIDIA Quadro M500M,499,0.95
NVIDIA QUADRO M520M,,2.27
NVIDIA Quadro M520,418,2.27
NVIDIA Quadro M600M,380,3.06
NVIDIA Quadro M620,296,5.25
NVIDIA Quadro NVS 320M,845,0.08
NVIDIA Quadro NVS 5100M,708,0.25
NVIDIA Quadro P1000,203,11.77
NVIDIA Quadro P2000,119,29.21
NVIDIA Quadro P2000 Max-Q,164,20.15
NVIDIA Quadro P2000 Mobile,120,29.21
NVIDIA Quadro P3000,151,21.91
NVIDIA Quadro P3000 Mobile,108,30.28
NVIDIA Quadro P400,400,2.65
NVIDIA Quadro P500,399,2.67
NVIDIA Quadro P520,388,2.88
NVIDIA Quadro P600,272,6.24
NVIDIA Quadro P620,233,9.05
NVIDIA Quadro T1000,127,27.97
NVIDIA Quadro T1000 Mobile,161,20.89
NVIDIA Quadro T2000 Max-Q,172,19.66
NVIDIA Quadro T2000 Mobile,160,20.89
NVIDIA Tesla C2050,249,8
NVIDIA Tesla C2070,267,6.58
NVIDIA Tesla C2075,253,7.66
NVIDIA Tesla M10,255,7.39
NVIDIA Tesla M6,111,29.76
NVIDIA Tesla M60,121,29.21
ARM MALI T860 MP4,,0
