names,Frequency,count
Intel Core i3 4340 , 3.60GHz,5245
AMD Athlon X4 950,,5231
AMD PRO A8 8650B,,5223
Intel Pentium Gold G5400 , 3.70GHz,5218
Intel Xeon W3530 , 2.80GHz,5217
Intel Pentium G4620 , 3.70GHz,5214
Intel Xeon E5 2418L , 2.00GHz,5202
Intel Pentium Gold G5500 , 3.80GHz,5195
Intel Core i3 7101TE , 3.40GHz,5189
Intel Core i3 4170 , 3.70GHz,5189
AMD PRO A12 8870E,,5186
Intel Xeon E5 2603 v3 , 1.60GHz,5179
AMD Athlon PRO 200GE,,5163
Intel Xeon E5 2609 v2 , 2.50GHz,5160
Intel Pentium Gold G5420T , 3.20GHz,5156
Intel Core i5 7300U , 2.60GHz,5155
Intel Xeon X3460 , 2.80GHz,5147
Intel Core i7 930 , 2.80GHz,5130
Intel Core i7 7500U , 2.70GHz,5119
AMD A10 7700K APU,,5117
AMD Ryzen 3 PRO 2100GE,,5113
Intel Core i7 7600U , 2.80GHz,5112
Intel Core i3 4330 , 3.50GHz,5087
AMD A12 9800E,,5087
AMD A8 7670K,,5083
Intel Core i5 2405S , 2.50GHz,5082
Intel Pentium G4600 , 3.60GHz,5076
AMD Athlon X4 840,,5071
AMD Embedded R Series RX 418GD Radeon R6,,5068
AMD PRO A10 9700E,,5066
AMD A10 8750,,5064
AMD A8 7600 APU,,5063
Intel Xeon E5630 , 2.53GHz,5055
Intel Core i5 7267U , 3.10GHz,5052
Intel Core i3 4160 , 3.60GHz,5049
Intel Core i3 7100T , 3.40GHz,5049
AMD A10 7860K,,5045
AMD Phenom II X6 1405T,,5042
AMD PRO A10 8770E,,5035
AMD Phenom II X6 1065T,,5028
AMD Opteron 4365 EE,,5025
Intel Core i7 860 , 2.80GHz,5022
AMD FX 870K Quad Core,,5021
Intel Core i3 8130U , 2.20GHz,5019
AMD PRO A8 8670E,,5015
Intel Xeon E5 4603 , 2.00GHz,5014
AMD FX 4320,,5011
Intel Core i5 2400S , 2.50GHz,4990
Intel Core i3 4350 , 3.60GHz,4990
AMD A10 PRO 7800B APU,,4979
Intel Core i7 6650U , 2.20GHz,4978
Intel Core i5 4460T , 1.90GHz,4978
AMD A10 7800 APU,,4974
AMD A8 9600,,4970
AMD Phenom II X6 1055T,,4965
AMD Athlon 200GE,,4955
Intel Core i7 5557U , 3.10GHz,4953
Intel Xeon W3520 , 2.67GHz,4940
Intel Core i3 4570T , 2.90GHz,4934
AMD A8 7650K,,4932
Intel Core i5 24050S , 2.50GHz,4928
Intel Core i7 860S , 2.53GHz,4919
Intel Core i7 4610M , 3.00GHz,4918
Intel Core i7 920 , 2.67GHz,4913
Intel Core i7 4600M , 2.90GHz,4907
Intel Core i3 4150 , 3.50GHz,4902
Intel Core i5 6267U , 2.90GHz,4888
AMD Opteron X3421 APU,,4886
Intel Pentium Gold G5400T , 3.10GHz,4884
AMD FX 4170 Quad Core,,4870
Intel Core i3 4370T , 3.30GHz,4870
