names,Frequency,count
Intel Core m3 6Y30 , 0.90GHz,3025
Intel Pentium 1403 v2 , 2.60GHz,3018
Intel Xeon L5408 , 2.13GHz,3014
AMD A8 3800 APU,,3011
AMD Phenom 9950 Quad Core,,3009
Intel Core i7 720QM , 1.60GHz,3008
Intel Pentium G3420T , 2.70GHz,3008
AMD Phenom 2 X4 12000,,3005
AMD A8 5550M APU,,3003
AMD Phenom II X4 805,,2998
AMD Athlon II X4 655,,2998
Intel Core M 5Y71 , 1.20GHz,2991
AMD Phenom 7950 Quad Core,,2991
AMD Phenom II X3 740,,2985
Intel Core2 Quad Q8300 , 2.50GHz,2980
Intel Core i3 2100T , 2.50GHz,2980
Intel Xeon X6550 , 2.00GHz,2977
Intel Core i3 5015U , 2.10GHz,2975
Intel Xeon E5506 , 2.13GHz,2974
Intel Core i5 4302Y , 1.60GHz,2971
AMD PRO A6 8550B,,2970
Intel Celeron G3930TE , 2.70GHz,2970
Intel Pentium G3250T , 2.80GHz,2969
Intel Pentium G3450T , 2.90GHz,2967
AMD A8 5557M APU,,2956
AMD Opteron 2374 HE,,2951
AMD PRO A6 9500,,2950
AMD Phenom FX 5200 Quad Core,,2948
Intel Core2 Quad Q6600 , 2.40GHz,2947
AMD Opteron 3250 HE,,2942
AMD Opteron 4122,,2942
AMD Opteron 6134,,2938
Intel Core i3 560 , 3.33GHz,2935
Intel Pentium G3260T , 2.90GHz,2930
Intel Core i5 3439Y , 1.50GHz,2930
Intel Pentium 4405U , 2.10GHz,2928
AMD Athlon II X4 620,,2928
Six Core AMD Opteron 2419 EE,,2925
Intel Celeron G3900T , 2.60GHz,2925
AMD Athlon 5370 APU,,2915
Intel Core i3 4158U , 2.00GHz,2914
Intel Core M 5Y70 , 1.10GHz,2912
Intel Celeron G1850 , 2.90GHz,2909
AMD A10 4657M APU,,2906
AMD Athlon II X4 620e,,2906
AMD A10 7300 APU,,2905
Intel Pentium Silver J5005 , 1.50GHz,2905
Intel Core i3 5005U , 2.00GHz,2903
Intel Core i5 4230U , 1.90GHz,2902
Intel Core i3 4110U , 1.90GHz,2902
Intel Core i7 2637M , 1.70GHz,2900
AMD Athlon II X4 615e,,2899
AMD Phenom II X3 B75,,2897
AMD Phenom X4 Quad Core GP 9730,,2897
AMD Athlon X4 635,,2891
AMD A6 9500E,,2889
AMD Phenom 9850 Quad Core,,2887
Intel Xeon E5345 , 2.33GHz,2886
Intel Pentium G4400TE , 2.40GHz,2885
AMD Phenom II X4 900e,,2882
Intel Pentium G2030 , 3.00GHz,2867
AMD Athlon II X3 460,,2864
AMD Athlon X4 620,,2861
Intel Celeron G1840 , 2.80GHz,2860
Intel Pentium G3240T , 2.70GHz,2840
Intel Core i3 2310E , 2.10GHz,2839
Celeron Dual Core Q8300 , 2.50GHz,2837
Intel Xeon E5405 , 2.00GHz,2835
Intel Core i7 2677M , 1.80GHz,2833
Intel Core M 5Y31 , 0.90GHz,2832
Intel Core i3 550 , 3.20GHz,2829
Intel Core i7 640M , 2.80GHz,2828
AMD PRO A6 8570E,,2824
Intel Core M 5Y10c , 0.80GHz,2821
AMD Opteron 2350,,2820
AMD Opteron 2356,,2814
Intel Pentium G870 , 3.10GHz,2812
Intel Core i7 2617M , 1.50GHz,2812
AMD Phenom 9750 Quad Core,,2810
Intel Core2 Quad Q8200 , 2.33GHz,2807
Intel Core i5 4422E , 1.80GHz,2806
AMD A8 7100 APU,,2803
AMD A6 3620 APU,,2793
AMD Athlon II X4 610e,,2793
AMD Phenom II X4 B05e,,2792
Intel Core i3 4025U , 1.90GHz,2789
AMD Opteron 2373 EE,,2789
AMD A6 7400K APU,,2783
Intel Core i3 2370M , 2.40GHz,2778
AMD PRO A4 8350B,,2776
AMD Turion X2 Dual Core Mobile RM 75,,1120
Intel Core2 Duo L7800 , 2.00GHz,1116
Intel Celeron P4500 , 1.87GHz,1116
Intel Core2 Duo T7250 , 2.00GHz,1114
Intel Core2 Duo T5800 , 2.00GHz,1114
Intel Pentium T3400 , 2.16GHz,1114
Intel Celeron N3350 , 1.10GHz,1112
AMD Athlon II Dual Core M300,,1112
Intel Celeron 2961Y , 1.10GHz,1110
AMD Athlon X2 Dual Core BE 2350,,1109
AMD Athlon Dual Core 4450e,,1108
Intel Core2 Duo E6300 , 1.86GHz,1108
AMD Athlon64 X2 Dual Core 4600+,,1108
AMD Athlon II X2 260u,,1107
AMD GX 217GA SOC,,1107
AMD Athlon 64 X2 Dual Core 4200+,,1098
AMD Opteron 170,,1097
Intel Pentium 957 , 1.20GHz,1095
AMD Athlon 64 X2 Dual Core BE 230,,1095
Intel Core2 Duo T5750 , 2.00GHz,1093
AMD E2 3000M APU,,1093
AMD Turion 64 X2 Mobile TL 62,,1092
AMD Turion 64 X2 Mobile TL 64,,1090
Intel Pentium E2180 , 2.00GHz,1088
AMD Athlon Dual Core 4050e,,1086
Celeron Dual Core T3000 , 1.80GHz,1086
AMD Turion X2 Dual Core Mobile RM 72,,1085
Intel Xeon 5110 , 1.60GHz,1084
AMD Turion X2 Ultra Dual Core Mobile ZM 82,,1084
AMD Athlon 64 X2 Dual Core BE 2300,,1082
AMD Sempron Dual Core 4900,,1081
Intel Core2 Duo L9300 , 1.60GHz,1080
Intel Core i5 470UM , 1.33GHz,1079
Intel Atom Z3745 , 1.33GHz,1079
Intel Core i3 330UM , 1.20GHz,1075
Intel Atom Z3740 , 1.33GHz,1068
Intel Celeron G465 , 1.90GHz,1064
Intel Pentium 2129Y , 1.10GHz,1062
AMD Turion X2 Dual Core Mobile RM 74,,1059
AMD Turion X2 Dual Core Mobile RM 76,,1059
Intel Celeron T1700 , 1.83GHz,1058
AMD Athlon II Dual Core M340,,1056
Intel Celeron E1400 , 2.00GHz,1053
Intel Core2 Duo E4300 , 1.80GHz,1051
AMD Athlon 64 X2 QL 65,,1050
AMD Athlon 64 X2 Dual Core 4000+,,1045
AMD Athlon 64 X2 Dual Core BE 2350,,1044
Intel Xeon 3.73GHz,,1041
Intel Core2 Duo T5550 , 1.83GHz,1039
Intel Celeron J1750 , 2.41GHz,1037
Intel Celeron G460 , 1.80GHz,1035
Intel Pentium T3200 , 2.00GHz,1032
Intel Atom x5 Z8330 , 1.44GHz,1029
Intel Core2 Duo T5600 , 1.83GHz,1029
AMD TurionX2 Dual Core Mobile RM 72,,1026
Intel 1500 , 2.00GHz,1024
Intel Core Duo T2700 , 2.33GHz,1024
AMD Turion X2 Ultra Dual Core Mobile ZM 80,,1023
Intel Core2 Duo P7700 , 1.80GHz,1021
Intel Celeron 847E , 1.10GHz,1021
Intel Core2 Duo T7100 , 1.80GHz,1020
AMD E1 7010 APU,,1018
Intel Atom Z3745D , 1.33GHz,1018
Intel Celeron J1800 , 2.41GHz,1017
AMD Turion Dual Core RM 74,,1016
Intel Atom Z3740D , 1.33GHz,1011
AMD Athlon X2 Dual Core LS 5800,,1009
AMD Opteron 1212,,1009
AMD Athlon 64 X2 QL 67,,1006
AMD Athlon 64 X2 QL 62,,1005
AMD Athlon II X2 250u,,1004
AMD Turion Dual Core RM 75,,1003
Intel Celeron N2840 , 2.16GHz,1002
AMD Athlon Neo X2 Dual Core 6850e,,1002
AMD Athlon 64 X2 Dual Core 3800+,,999
Intel Pentium E2160 , 1.80GHz,998
AMD Turion 64 X2 Mobile TL 60,,998
AMD Athlon X2 Dual Core 6850e,,998
AMD TurionX2 Dual Core Mobile RM 70,,997
AMD Sempron Dual Core 2200,,995
AMD Athlon 64 X2 Dual Core 3400+,,994
Intel Celeron P4505 , 1.87GHz,994
Intel Core2 Duo T5670 , 1.80GHz,994
AMD Turion X2 Dual Core Mobile RM 70,,994
AMD Athlon 64 X2 QL 64,,990
AMD Athlon 64 X2 TK 57,,988
Intel Celeron N3060 , 1.60GHz,984
AMD Sempron Dual Core 2300,,982
Intel 1400 , 1.83GHz,980
AMD Turion II Neo K625 Dual Core,,977
Intel Pentium T2410 , 2.00GHz,977
Intel Celeron J3060 , 1.60GHz,975
Intel Celeron N3010 , 1.04GHz,973
Intel Core2 Duo L7700 , 1.80GHz,973
AMD Opteron 1210 HE,,971
AMD Athlon 64 X2 Dual Core TK 57,,971
Athlon Dual Core 4050e,,968
Intel Celeron , 1.30GHz,965
Intel Celeron N2830 , 2.16GHz,965
AMD Opteron 256,,963
AMD Opteron 265,,963
AMD Athlon 64 X2 Dual Core 3600+,,962
Intel Pentium Extreme Edition 965 , 3.73GHz,961
Intel Core2 Duo L7500 , 1.60GHz,961
Intel Atom C2358 , 1.74GHz,961
AMD E1 Micro 6200T APU,,960
Intel T2050 , 2.00GHz,959
AMD Athlon 64 X2 3800+,,958
AMD Athlon 64 X2 TK 55,,955
Intel Celeron 1019Y , 1.00GHz,954
Intel T1500 , 1.86GHz,953
AMD Sempron 2650 APU,,951
Intel Pentium U5600 , 1.33GHz,951
Intel Celeron T1600 , 1.66GHz,950
AMD Sempron Dual Core 4700,,948
Intel Atom Z3735E , 1.33GHz,948
AMD Athlon 64 X2 QL 66,,947
Intel Pentium T2390 , 1.86GHz,947
AMD Turion 64 X2 Mobile TL 58,,947
Intel Core2 Duo P7500 , 1.60GHz,945
Intel Core Duo T2600 , 2.16GHz,944
Intel Celeron N2820 , 2.13GHz,937
Intel Atom Z3735D , 1.33GHz,937
AMD Sempron Dual Core 2100,,936
Intel Celeron 847 , 1.10GHz,935
Intel Core2 Duo T5300 , 1.73GHz,933
AMD Turion II Neo N40L Dual Core,,930
Intel T1400 , 1.73GHz,929
AMD Athlon 64 X2 QL 60,,925
Intel Core2 Duo SU9400 , 1.40GHz,925
AMD Athlon 64 X2 Dual Core TK 57,,924
AMD Opteron 1210,,923
AMD Turion X2 Dual Core L510,,923
Intel Core2 Duo T5500 , 1.66GHz,923
AMD Athlon X2 Dual Core BE 2300,,920
Intel Atom S1260 , 2.00GHz,916
Intel Atom Z3735F , 1.33GHz,914
Intel Core2 Duo T5450 , 1.66GHz,913
Intel Atom Z3736F , 1.33GHz,912
AMD Turion Dual Core RM 70,,912
Intel Pentium Extreme Edition 955 , 3.46GHz,912
Intel Core2 Duo T5470 , 1.60GHz,908
Intel Celeron N2808 , 1.58GHz,907
Intel Atom Z3735G , 1.33GHz,906
AMD E1 6015 APU,,900
Intel Celeron N3000 , 1.04GHz,899
AMD Opteron 165,,899
Intel Atom C2338 , 1.74GHz,898
AMD E1 2500 APU,,896
AMD Turion 64 X2 Mobile TL 56,,891
Intel Celeron N3050 , 1.60GHz,880
AMD Athlon 64 X2 Dual Core TK 42,,877
Intel Core2 Duo U7300 , 1.30GHz,873
Intel Pentium E2140 , 1.60GHz,871
AMD Athlon 64 X2 Dual Core TK 55,,870
AMD E1 6010 APU,,868
Intel Core Duo T2500 , 2.00GHz,863
Intel Celeron N2807 , 1.58GHz,861
AMD Turion Dual Core RM 72,,860
Intel Celeron E1200 , 1.60GHz,860
AMD Turion X2 Dual Core Mobile RM 70,,858
Intel 1300 , 1.66GHz,857
AMD Athlon II Neo K345 Dual Core,,856
Intel Celeron N2815 , 1.86GHz,856
Intel Core2 Duo U9300 , 1.20GHz,855
Intel Pentium SU4100 , 1.30GHz,853
Intel Atom E3827 , 1.74GHz,849
Intel Pentium T2370 , 1.73GHz,849
Intel Core2 Duo L7400 , 1.50GHz,846
Intel Pentium T1080 , 1.73GHz,842
Intel Atom D2700 , 2.13GHz,842
AMD Athlon 64 X2 Dual Core TK 53,,839
Intel Core2 Duo T5250 , 1.50GHz,839
AMD Athlon 64 X2 Dual Core TK 55,,839
Intel Core2 Duo T5200 , 1.60GHz,833
AMD Athlon Neo X2 Dual Core L335,,828
Intel Pentium T2330 , 1.60GHz,827
AMD E2 2000 APU,,825
Intel Core Duo T2450 , 2.00GHz,825
Intel Core2 Duo L7300 , 1.40GHz,825
AMD Athlon 64 X2 Dual Core TK 53,,820
AMD E2 1800 APU,,814
Intel Pentium U5400 , 1.20GHz,814
Intel Celeron B720 , 1.70GHz,814
Intel Core2 Duo T5270 , 1.40GHz,813
AMD Turion Neo X2 Dual Core L625,,813
Intel Atom x5 E3930 , 1.30GHz,811
Intel Pentium D 960 , 3.60GHz,811
Intel Celeron U3600 , 1.20GHz,809
AMD Sempron 145,,807
Intel Atom Z3770D , 1.49GHz,805
Intel Celeron N2806 , 1.60GHz,802
AMD G T56N,,796
AMD Athlon II Neo N36L Dual Core,,795
AMD Athlon 64 FX 25,,794
Intel Core Duo T2400 , 1.83GHz,794
Intel Celeron N2810 , 2.00GHz,788
AMD Athlon X2 Dual Core 3250e,,778
AMD Athlon Neo X2 Dual Core L325,,776
AMD Athlon II Neo K325 Dual Core,,775
Intel Celeron SU2300 , 1.20GHz,771
AMD E1 2200 APU,,767
AMD E 450 APU,,765
AMD Turion 64 X2 Mobile TL 52,,763
Intel Core Duo T2350 , 1.86GHz,761
Intel Core2 Duo L7100 , 1.20GHz,760
AMD Opteron 252,,760
AMD E 350 APU,,759
AMD Sempron LE 1640,,759
Intel Core Duo T2250 , 1.73GHz,755
AMD G T56E,,751
Intel Celeron 807 , 1.50GHz,751
AMD Sempron 150,,747
Intel Core Duo L2500 , 1.83GHz,747
AMD Turion 64 X2 Mobile TL 50,,747
AMD E 350,,745
AMD GX 212JC SOC ,,744
Intel Pentium D 950 , 3.40GHz,742
AMD Sempron 140,,739
Intel Pentium T2310 , 1.46GHz,735
AMD Athlon 64 FX 57,,730
Intel Core Duo T2300 , 1.66GHz,727
AMD E 350D APU,,726
Intel Celeron U3400 , 1.07GHz,721
AMD Athlon 64 FX 55,,721
Intel Atom D2701 , 2.13GHz,720
Intel Core Duo L2300 , 1.50GHz,719
AMD Athlon 64 FX 59,,715
Intel Atom D2560 , 2.00GHz,711
Intel Pentium D 940 , 3.20GHz,709
Intel Pentium T2130 , 1.86GHz,706
Intel Atom D525 , 1.80GHz,706
Intel Pentium 5 2.66GHz,,705
Intel Pentium T2080 , 1.73GHz,705
Intel Core Duo L2400 , 1.66GHz,705
AMD Opteron 154,,703
AMD Sempron 130,,700
Intel Core2 Duo U7700 , 1.33GHz,700
Intel Celeron G440 , 1.60GHz,694
AMD Opteron 254,,693
Intel Core Duo T2050 , 1.60GHz,693
Intel Celeron 925 , 2.30GHz,689
AMD E1 1500 APU,,689
Intel Celeron U3405 , 1.07GHz,684
Intel Core2 Duo L7200 , 1.33GHz,684
Intel Xeon MV 3.20GHz,,683
Intel Atom D2550 , 1.86GHz,683
AMD Athlon LE 1660,,679
AMD V160,,677
Intel Celeron 900 , 2.20GHz,676
AMD Athlon 1640B,,670
Intel Core2 Duo U7600 , 1.20GHz,669
AMD G T48E,,667
Intel Pentium T2060 , 1.60GHz,663
AMD Opteron 152,,658
Intel Atom K510 , 1.66GHz,658
Intel Atom D510 , 1.66GHz,658
AMD E1 1200 APU,,655
AMD Opteron 250,,649
AMD Athlon 64 FX 53,,646
AMD Athlon X2 Dual Core L310,,645
VIA Nano L3600,2000MHz,645
Intel Core 330 , 1.60GHz,643
AMD V140,,643
Intel Pentium D 830 , 3.00GHz,642
AMD E1 2100 APU,,642
AMD Sempron LE 1620,,635
AMD A4 1200 APU,,632
AMD Opteron 246,,632
Intel Celeron 450 , 2.20GHz,626
AMD Athlon LE 1640,,626
AMD Athlon II 170u,,626
Intel Atom N2800 , 1.86GHz,625
AMD V120,,623
AMD A4 1250 APU,,622
AMD Turion 64 Mobile ML 42,,615
Intel Celeron 827E , 1.40GHz,613
AMD E 300 APU,,609
AMD Athlon 64 4000+,,608
VIA Nano X2 U4025 , 1.2 GHz,605
AMD Opteron 150,,604
Intel Xeon 3.80GHz,,604
AMD Opteron 148,,603
AMD Athlon 64 3600+,,601
AMD Athlon 64 3700+,,598
AMD Sempron LE 1300,,595
AMD Turion 64 Mobile ML 44,,591
Intel Core2 Duo U7500 , 1.06GHz,590
AMD Athlon 64 3800+,,589
Intel Core2 Duo Q6867 , 3.00GHz,589
Intel Atom 330 , 1.60GHz,587
Intel Celeron D 430 , 1.80GHz,585
Intel Pentium D 915 , 2.80GHz,583
AMD Sempron M120,,582
VIA Nano L3050,1800MHz,581
Intel Atom E3825 , 1.33GHz,579
AMD Athlon LE 1620,,578
Mobile AMD Athlon 64 4000+,,576
AMD Athlon 64 3300+,,576
AMD Athlon 64 2200+,,575
Intel Atom N570 , 1.66GHz,574
Mobile AMD Athlon XP,,572
AMD Athlon XP 3400+,,570
Intel Atom Z2760 , 1.80GHz,568
AMD Sempron M100,,566
AMD Athlon II 160u,,563
AMD C 70 APU,,558
AMD Athlon LE 1600,,557
AMD Sempron 3800+,,554
AMD Athlon 64 3400+,,545
AMD C 60 APU,,545
Intel Celeron 440 , 2.00GHz,544
Intel Core Duo U2400 , 1.06GHz,544
AMD Sempron LE 1250,,543
Intel Celeron M 540 , 1.86GHz,542
AMD Athlon 64 3500+,,541
AMD Athlon XP M,,541
AMD Turion 64 Mobile MT 40,,536
AMD Sempron LE 1600,,535
AMD Opteron 146,,532
Intel Celeron 560 , 2.13GHz,531
AMD Sempron LE 1200,,531
Intel Pentium D 805 , 2.66GHz,529
Intel Atom N2600 , 1.60GHz,527
AMD Athlon II Neo K145,,525
Intel 2.80GHz,,525
Intel Atom N550 , 1.50GHz,524
AMD Z 01,,523
AMD Turion 64 Mobile ML 40,,522
Intel Celeron 540 , 1.86GHz,521
Intel Celeron 570 , 2.26GHz,517
Intel Celeron 550 , 2.00GHz,517
VIA Nano L3025,1600MHz,517
AMD G T40N,,516
AMD Turion 64 Mobile MK 38,,513
Mobile AMD Athlon XP M,,512
Mobile AMD Athlon 64 3400+,,511
Intel Xeon 3.60GHz,,509
Intel Pentium M 2.26GHz,,509
Mobile AMD Athlon XP M (LV),,508
Intel Core Duo U2500 , 1.20GHz,507
AMD Athlon 2850e,,506
Mobile AMD Athlon XP M (LV) 3200+,,505
VIA Nano U3100 (1.6GHz Capable),,501
AMD Z 60 APU,,500
VIA Eden X2 U4200 , 1.0+ GHz,499
Intel Pentium M 2.13GHz,,499
AMD Athlon MP 2800+,,497
Mobile AMD Athlon MP M 2800+,,496
AMD Athlon 64 3200+,,492
Intel Xeon 3.06GHz,,491
AMD Sempron LE 250,,490
Intel Atom E3826 , 1.46GHz,489
Intel Celeron 430 , 1.80GHz,487
Mobile AMD Athlon XP M 3200+,,487
Intel Pentium 4 3.73GHz,,486
AMD Opteron 144,,486
Intel Pentium 4 3.60GHz,,486
Intel Pentium 4 3.80GHz,,485
Mobile AMD Sempron 3800+,,485
AMD Athlon 3100+,,485
AMD Turion 64 Mobile MT 37,,484
AMD Sempron 3300+,,484
Intel Pentium M 756 , 1.66GHz,484
AMD Sempron 3600+,,483
Intel Celeron D 420 , 1.60GHz,481
Intel Xeon 3.40GHz,,478
Mobile Intel Pentium 4 3.46GHz,,478
AMD Athlon II Neo K125,,477
AMD Opteron 248,,476
Mobile AMD Athlon XP M (LV) 2800+,,475
Intel Celeron 530 , 1.73GHz,474
AMD Athlon QI 46,,473
Intel Core Solo T1400 , 1.83GHz,470
AMD G T40E,,467
AMD C 60,,466
Intel Core2 Solo U3500 , 1.40GHz,465
AMD Turion 64 Mobile MK 36,,465
AMD Athlon XP 2300+,,464
AMD Athlon 64 3000+,,464
Intel Celeron M 530 , 1.73GHz,462
AMD C 50,,462
AMD Athlon 2400+,,462
Intel Pentium M 2.00GHz,,461
Intel Xeon 3.20GHz,,461
Intel Celeron N2805 , 1.46GHz,460
AMD Athlon 3200+,,458
VIA Nano L1900,1400MHz,457
Intel Celeron M 723 , 1.20GHz,457
AMD Sempron SI 42,,456
AMD Sempron 3400+,,454
Intel Pentium 4 3.46GHz,,454
AMD Sempron 3100+,,452
Mobile AMD Athlon 64 3000+,,450
Intel Celeron 420 , 1.60GHz,450
Intel Celeron M 450 , 2.00GHz,450
Intel Pentium M 2.10GHz,,448
Mobile AMD Athlon 64 3200+,,448
AMD Athlon 2800+,,447
AMD Sempron SI 40,,447
AMD Turion 64 Mobile ML 37,,446
Mobile AMD Sempron 3300+,,446
AMD Sempron LE 1150,,444
AMD Athlon 2600+,,444
Mobile AMD Sempron 3400+,,441
Mobile AMD Athlon 64 2800+,,440
Mobile AMD Athlon XP M 3100+,,440
Mobile Intel Pentium 4 3.33GHz,,439
Intel Pentium M 1.86GHz,,438
AMD Athlon 64 2800+,,438
AMD Sempron LE 1100,,437
AMD Athlon 64 FX 51,,437
AMD Athlon MP 2400+,,436
Intel Xeon 2.66GHz,,435
Intel T1200 , 1.50GHz,435
Mobile AMD Athlon 64 3700+,,435
AMD Athlon XP 3100+,,433
AMD Athlon XP 3200+,,432
Intel Celeron M 520 , 1.60GHz,431
AMD Turion 64 Mobile MT 34,,429
VIA Nano L2100,1800MHz,428
AMD Opteron 142,,428
Mobile AMD Sempron 3600+,,427
AMD Turion 64 Mobile MT 32,,426
AMD Turion 64 Mobile ML 34,,425
AMD Athlon XP 2900+,,424
Intel Celeron 743 , 1.30GHz,421
AMD Turion 64 Mobile MT 28,,419
Mobile AMD Sempron 3100+,,416
VIA Nano U2250 (1.6GHz Capable),,415
Intel Core2 Solo U3300 , 1.20GHz,415
AMD Athlon TF 20,,413
AMD Athlon 2100+,,412
Intel Pentium M 1.73GHz,,412
Intel Pentium M 1.80GHz,,411
AMD Athlon Neo MV 40,,410
VIA Nano U3300,1200MHz,409
Mobile AMD Sempron 3500+,,408
AMD Sempron 3000+,,408
AMD Athlon 2650e,,407
AMD Sempron 3200+,,406
Intel Pentium M 1.70GHz,,406
Intel Pentium SU2700 , 1.30GHz,405
Intel Celeron D 365 , 3.60GHz,404
Intel Atom D2500 , 1.86GHz,403
AMD K7,,403
AMD K7,,403
AMD Turion 64 Mobile ML 32,,402
AMD Athlon XP 3000+,,402
AMD Turion 64 Mobile ML 30,,402
AMD Athlon XP2200+,,401
AMD GX 210JA SOC,,401
AMD Athlon XP 2800+,,400
Intel Xeon 2.80GHz,,400
Mobile AMD Athlon 64 2700+,,398
Intel Core Solo T1350 , 1.86GHz,396
AMD Opteron 140,,396
Intel Pentium 4 3.40GHz,,395
AMD Athlon TF 36,,395
VIA Esther 2000MHz,,394
Mobile AMD Sempron 2600+,,394
AMD Athlon XP 2700+,,393
Intel Core Solo T1300 , 1.66GHz,393
Intel Celeron M 1.70GHz,,393
Intel Celeron M 440 , 1.86GHz,392
AMD Sempron 2100+,,392
Intel Xeon 3.00GHz,,391
AMD Sempron 210U,,391
Intel Celeron 723 , 1.20GHz,390
AMD Turion 64 Mobile ML 28,,390
AMD Athlon 2000+,,390
Mobile AMD Sempron 3000+,,389
AMD Sempron 2800+,,383
Intel Atom Z550 , 2.00GHz,381
AMD Athlon 64 FX 34,,380
AMD Sempron 3500+,,379
AMD Turion 64 Mobile MT 30,,378
Mobile AMD Athlon MP M 2000+,,378
Intel Pentium M 1700MHz,,376
AMD Athlon 2500+,,374
AMD Athlon XP2400+,,374
AMD Athlon 64 2600+,,374
AMD Sempron 2600+,,374
Intel Pentium 4 3.20GHz,,373
Mobile AMD Athlon XP M (LV) 2200+,,373
AMD Athlon XP 2600+,,372
Mobile AMD Athlon XP M 2600+,,370
Mobile AMD Athlon 2500+,,370
VIA Nano L2007,1600MHz,369
Intel Celeron 807UE , 1.00GHz,369
VIA C7 D 2000MHz,,368
Intel Celeron M 430 , 1.73GHz,368
AMD Athlon XP Pro3+,,367
Intel Pentium M 1.50GHz,,366
Mobile AMD Athlon XP M 3000+,,365
Mobile AMD Athlon XP M 2800+,,365
Intel Pentium M 1.60GHz,,364
Mobile AMD Athlon XP M 2200+,,364
Mobile AMD Sempron 2800+,,364
AMD Athlon 2200+,,363
Intel Celeron M 1.60GHz,,362
AMD Athlon XP 2400+,,360
Intel Core2 Solo U2100 , 1.06GHz,359
Mobile AMD Athlon 4 2400+,,358
Mobile Intel Pentium 4 3.20GHz,,356
AMD Athlon XP 2500+,,355
Intel Pentium M 1500MHz,,354
Mobile AMD Sempron 3200+,,354
AMD Athlon XP1900+,,353
Intel Pentium 4 3.00GHz,,353
VIA Eden C1050,1.06GHz,352
Intel Atom Z540 , 1.86GHz,348
Intel Pentium 4 3.06GHz,,347
Mobile AMD Athlon XP M 2500+,,346
Intel Atom E680 , 1.60GHz,346
Mobile AMD Athlon XP M 2400+,,346
Intel Pentium M 1.40GHz,,345
Intel Atom D425 , 1.80GHz,345
AMD Athlon XP 1700,,344
Intel Celeron M 1.50GHz,,343
Mobile AMD Athlon XP M 1900+,,342
AMD Athlon MP 1700+,,339
Mobile Intel Pentium 4 3.06GHz,,337
Intel Celeron D 360 , 3.46GHz,337
AMD Sempron 2500+,,335
Mobile AMD Athlon XP M (LV) 2000+,,335
Intel Pentium M 1600MHz,,335
Intel Celeron M 420 , 1.60GHz,334
Intel Celeron 3.33GHz,,333
Intel Celeron M 1500MHz,,333
Intel Atom N470 , 1.83GHz,332
Intel Atom E3815 , 1.46GHz,331
Intel Core Solo U1500 , 1.33GHz,330
Intel Celeron M 360 1.40GHz,,328
AMD Athlon XP 2200+,,328
AMD Athlon XP 2100+,,323
Mobile AMD Athlon XP M 1700+,,323
Intel Celeron 215 , 1.33GHz,322
Intel Pentium 4 2.80GHz,,322
Intel Celeron 220 , 1.20GHz,320
Intel Pentium M 1400MHz,,320
AMD E 240,,319
AMD Sempron 2300+,,318
Intel Celeron M 1.30GHz,,316
Intel Celeron D 356 , 3.33GHz,315
Intel Celeron M 410 , 1.46GHz,315
Mobile Intel Pentium 4 2.80GHz,,315
Intel Atom N475 , 1.83GHz,314
Mobile AMD Athlon 4,,314
AMD Sempron 2400+,,314
Mobile Intel Pentium 4   M 2.60GHz,,313
AMD Athlon XP 1900+,,312
Intel Core2 Solo U2200 , 1.20GHz,311
AMD C 30,,310
Intel Pentium III 1266S , 1266MHz,309
AMD G T52R,,308
Intel Atom 230 , 1.60GHz,307
VIA Nano U2500,1200MHz,306
Intel Pentium M 1300MHz,,303
Intel Celeron M 1300MHz,,303
AMD Athlon L110,,303
Intel Atom N2100 , 1.60GHz,302
Intel Celeron 1400MHz,,302
Intel Celeron D 352 , 3.20GHz,302
Intel Pentium M 1.30GHz,,301
Intel Atom D410 , 1.66GHz,301
Mobile AMD Athlon XP M 2000+,,300
AMD Athlon XP 1800+,,300
AMD Athlon XP 2000+,,300
AMD V105,,299
Intel Pentium III 1400S , 1400MHz,299
Intel Pentium M 1.20GHz,,298
Mobile AMD Athlon XP M 1800+,,297
Intel Pentium III 1400 , 1400MHz,297
VIA Nano L2207,1600MHz,296
Intel Atom N450 , 1.66GHz,296
Mobile AMD Athlon XP M (LV) 1600+,,296
Mobile AMD Athlon MP M 2400+,,295
Mobile Intel Celeron 1200MHz,,294
AMD Athlon 1500+,,294
Intel Pentium 4 2.93GHz,,293
AMD Geode NX 1750,,291
Intel Celeron 1333MHz,,290
Mobile Intel Pentium III   M 1133MHz,,289
Mobile Intel Pentium III   M 1333MHz,,289
Mobile AMD Athlon XP M (LV) 1500+,,288
Intel Celeron 3.20GHz,,288
686 Gen,,288
Intel Celeron 1300MHz,,288
Intel Pentium 4 2.60GHz,,288
AMD Athlon 7850 Dual Core 2.8G,,288
VIA C7 D 1500MHz,,287
AMD Athlon XP2100+,,287
Intel Pentium III 1133 , 1133MHz,284
Intel Celeron 3.06GHz,,284
VIA C7 1500MHz,,284
Intel Celeron 2.93GHz,,283
Intel Atom N455 , 1.66GHz,283
Intel Atom N280 , 1.66GHz,282
Intel Celeron 1133MHz,,282
Intel Pentium M 1.10GHz,,282
AMD Sempron 2200+,,282
AMD Athlon XP 1500,,282
AMD Athlon XP1600+,,281
Mobile Intel Celeron 2.50GHz,,281
Intel Atom Z530 , 1.60GHz,281
Mobile Intel Celeron 1333MHz,,280
AMD Athlon 4,,279
Mobile Intel Pentium 4 2.66GHz,,279
Intel Pentium III 1200 , 1200MHz,278
